ClientSK;Score_Churn;Classe_Risque;Date_Prediction;Modele;AUC;Population_Cible;Target_Mode;Target_Horizon_Days
40247;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40250;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40251;36.7;Modere;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40252;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40253;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40254;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40255;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40256;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40257;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40258;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40259;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40260;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40261;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40262;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40263;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40264;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40265;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40266;36.0;Modere;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40267;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40268;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40270;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40271;32.6;Modere;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40275;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40276;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40277;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40278;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40279;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40280;6.9;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40281;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40283;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40284;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40285;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40286;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40287;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40288;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40289;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40290;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40292;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40293;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40294;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40295;63.1;Eleve;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40296;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40297;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40299;53.4;Eleve;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40302;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40304;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40308;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40311;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40312;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40314;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40315;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40317;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
